Feature,Importance
V14,0.183715132646354
V10,0.11142737227577328
V4,0.10768299296776027
V12,0.09653537197864892
V17,0.08603232058672983
V11,0.062092228025491705
V3,0.05843560454936627
V16,0.053122165041046776
V2,0.0312624747437251
V7,0.023407869263415895
V9,0.019040827018445197
V21,0.017264803762354928
V8,0.015220003320485195
V18,0.01306895658250882
V27,0.011594983497461266
V19,0.010707718340976188
V5,0.010599590507670639
V13,0.009895132339502868
V26,0.008972760251951109
V1,0.008372441562778528
Amount,0.008090417113669653
V20,0.007676281752274274
Time,0.007322627800106766
V6,0.0061957871563869
V28,0.006153615887266932
V15,0.005787274077810985
V25,0.005356679793165931
V22,0.005312935753537464
V23,0.004923267406339919
V24,0.004730363996994436
